 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Atend.Hanseníase por Município e Ano/Mês
Período:1998-2015
"Município";"1998";"1999";"2000";"2001";"2002";"2003";"2004/Jan";"2004/Fev";"2004/Mar";"2004/Abr";"2004/Mai";"2004/Jun";"2004/Jul";"2004/Ago";"2004/Set";"2004/Out";"2004/Nov";"2004/Dez";"2005/Jan";"2005/Fev";"2005/Mar";"2005/Abr";"2005/Mai";"2005/Jun";"2005/Jul";"2005/Ago";"2005/Set";"2005/Out";"2005/Nov";"2005/Dez";"2006/Jan";"2006/Fev";"2006/Mar";"2006/Abr";"2006/Mai";"2006/Jun";"2006/Jul";"2006/Ago";"2006/Set";"2006/Out";"2006/Nov";"2006/Dez";"2007/Jan";"2007/Fev";"2007/Mar";"2007/Abr";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"Total"
"210130 Bacuri";1;4;2;4;11;14;1;3;1;1;5;5;5;3;5;6;7;4;2;6;15;2;-;12;7;10;8;8;9;15;3;13;4;5;5;6;6;8;4;3;52;6;4;6;8;10;74;7;6;6;7;89;2;-;6;10;4;5;6;6;11;6;6;12;5;5;10;24;6;5;1;1;-;4;-;-;3;3;9;2;3;4;4;2;4;3;3;2;3;-;5;3;3;1;3;1;3;3;-;2;-;-;-;2;-;-;-;-;-;-;2;1;-;-;1;1;2;-;31;-;-;-;115;-;9;-;45;-;-;-;1;1;3;3;2;5;1;1;2;1;2;10;2;3;1;36;34;31;-;-;1060
"210135 Bacurituba";-;-;-;2;10;21;-;-;-;1;-;1;2;1;1;1;2;2;2;1;1;29;-;2;4;2;1;3;2;3;5;4;4;2;4;5;3;2;2;2;3;3;1;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;1;1;1;1;1;1;2;1;1;-;-;-;-;-;-;-;-;62;-;-;-;-;-;-;-;-;-;1;1;2;2;2;1;2;1;2;2;1;1;-;-;1;-;-;-;-;-;-;1;-;1;1;1;1;-;-;-;-;1;1;5;3;2;2;2;2;2;-;-;1;-;-;-;-;-;-;-;259
"210140 Balsas";-;-;28;217;130;842;7;6;6;25;76;89;57;71;67;52;57;50;58;45;37;59;57;80;30;27;39;31;37;33;30;36;27;38;37;46;50;34;37;34;45;43;48;63;42;52;35;68;104;31;37;37;33;32;29;34;37;50;39;52;39;37;57;45;53;46;84;76;36;52;38;36;38;34;34;43;46;38;32;45;37;41;54;50;40;36;35;39;30;25;33;29;23;36;32;28;24;35;33;58;39;34;23;27;24;43;40;44;46;41;44;36;35;39;17;25;25;25;38;37;34;45;41;42;42;43;45;51;50;57;48;52;64;60;63;66;86;57;41;59;48;58;187;48;50;44;48;49;51;56;7587
"210150 Barão de Grajaú";-;-;-;41;49;69;-;-;-;4;3;7;10;9;10;15;17;16;18;8;7;5;6;12;8;3;5;14;10;1;6;3;6;3;6;4;3;5;8;10;8;4;2;-;-;2;1;1;8;7;-;7;17;18;10;11;12;7;3;5;8;14;8;19;13;18;9;5;7;9;9;9;29;41;11;14;20;15;18;48;12;7;6;9;12;15;17;23;16;15;11;7;19;16;24;24;86;26;21;25;28;32;67;22;25;44;25;22;29;21;106;16;14;18;10;12;9;10;6;15;16;9;14;18;16;16;12;8;13;14;16;15;20;14;14;16;16;19;14;8;21;14;27;20;22;25;27;-;20;23;2257
"210160 Barra do Corda";-;3;53;65;157;161;12;14;10;11;13;14;10;14;13;11;14;15;6;16;12;11;9;8;10;7;9;14;14;15;18;22;19;16;10;6;12;7;7;7;7;9;9;8;7;5;11;7;5;7;6;10;20;11;14;22;12;19;18;18;12;10;12;12;12;73;19;39;14;18;20;25;23;19;19;19;119;17;96;26;15;14;18;21;20;18;22;22;23;26;21;15;19;18;15;17;12;14;18;16;14;13;17;27;25;24;21;15;22;-;18;28;20;285;17;10;10;13;14;10;10;7;3;9;7;4;4;-;9;3;9;13;19;427;10;35;13;-;329;72;62;15;20;19;15;9;6;-;15;59;3844
"210170 Barreirinhas";-;44;301;46;27;39;6;3;7;1;-;8;1;1;4;9;6;2;1;2;2;3;1;2;3;3;-;6;7;2;3;1;1;5;10;9;9;10;11;13;15;9;24;21;27;18;26;24;15;16;17;15;31;11;12;17;16;9;9;12;12;11;28;10;14;19;17;17;43;18;19;20;17;44;16;12;12;11;24;10;11;12;8;8;16;12;24;16;17;25;26;25;22;23;11;19;19;23;23;27;15;16;19;19;18;15;20;23;19;20;14;15;10;22;17;7;7;9;20;12;13;9;12;10;11;14;15;13;22;17;15;15;16;117;157;27;33;39;26;24;25;100;29;33;17;19;20;18;21;19;2917
"210177 Bela Vista do Maranhão";7;17;12;11;53;53;15;10;2;2;10;-;10;10;10;5;2;3;9;-;2;1;13;17;2;9;3;11;2;3;2;1;1;1;2;1;2;1;-;2;1;-;1;-;1;1;1;-;1;-;1;1;-;2;1;5;6;6;8;7;10;4;5;4;6;3;4;3;4;8;6;5;2;2;-;1;1;4;2;2;1;1;2;2;3;-;5;6;2;4;4;1;2;8;5;3;5;1;3;4;5;4;-;-;1;10;10;12;17;17;7;11;12;13;8;10;14;7;8;6;3;3;1;1;1;2;2;4;5;14;4;-;8;13;32;16;11;4;11;4;9;10;9;7;7;7;9;8;22;7;904
"210173 Belágua";-;-;27;1;9;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;5;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;2;-;-;2;1;2;58;2;2;1;-;2;2;2;2;2;2;-;1;-;-;-;-;-;-;-;-;-;-;-;25;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;1;1;1;1;2;2;262
"210180 Benedito Leite";-;-;-;-;5;34;1;1;3;4;4;4;3;5;3;2;-;4;2;2;2;2;3;3;1;1;3;3;2;10;1;2;2;3;3;4;2;6;3;1;2;1;2;2;2;4;1;-;-;-;1;-;1;1;-;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;1;1;1;1;1;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;1;3;1;2;1;1;3;3;3;3;3;2;4;2;2;2;2;2;2;2;2;1;1;1;-;-;-;1;1;2;233
"210190 Bequimão";44;21;-;50;99;91;6;5;7;5;6;4;7;5;7;7;7;9;6;4;6;6;6;4;4;5;7;5;8;4;3;3;4;6;4;5;6;4;3;4;5;5;5;6;98;4;4;3;3;2;4;4;5;5;3;4;3;5;7;9;6;6;4;-;13;122;8;8;8;6;6;97;8;7;6;8;8;7;152;7;6;7;6;8;7;8;9;9;8;12;10;10;11;11;12;11;13;13;11;10;91;11;11;9;11;11;13;13;9;340;15;17;13;18;11;17;13;13;12;14;16;16;19;12;13;10;16;14;201;13;5;10;6;10;11;7;6;8;10;13;14;10;11;8;11;11;9;12;48;8;2570
"210193 Bernardo do Mearim";-;-;-;13;12;32;2;2;2;2;2;2;2;2;2;2;1;1;-;1;-;2;-;-;1;1;2;3;2;2;4;3;3;3;3;6;7;8;2;2;3;3;2;2;-;1;2;2;3;5;5;2;4;3;3;1;4;4;5;3;1;11;-;-;-;-;6;7;4;8;5;4;14;10;12;14;-;-;13;8;17;27;24;11;10;9;10;17;15;12;16;12;9;8;39;11;8;6;27;7;4;4;9;27;10;27;29;36;36;13;13;12;9;5;12;12;10;13;29;13;18;13;13;13;13;13;13;13;13;13;13;13;12;12;13;13;13;14;13;13;12;13;13;11;13;13;13;13;13;13;1317
"210197 Boa Vista do Gurupi";-;-;-;56;213;173;7;14;8;-;-;2;-;15;3;1;1;1;3;5;-;6;5;5;7;10;8;7;11;9;26;3;9;3;2;5;9;36;10;3;4;4;7;7;9;7;5;6;5;4;4;5;3;3;4;1;5;5;7;13;8;12;10;14;11;11;3;2;7;7;3;4;8;11;6;5;3;3;2;1;6;4;7;3;3;3;4;4;4;3;4;4;3;2;2;2;2;3;4;1;3;4;4;2;2;4;4;2;2;2;2;3;2;9;5;5;5;2;2;2;2;2;1;1;-;2;-;3;3;3;3;3;2;3;3;4;4;4;3;6;-;-;-;-;-;-;-;-;-;-;1101
"210200 Bom Jardim";36;138;323;416;105;328;73;61;63;30;64;40;41;39;30;1;91;-;-;1;19;7;12;7;8;6;3;17;4;5;2;14;11;23;8;13;6;25;17;22;37;21;59;24;46;20;54;25;30;48;61;36;36;20;17;30;71;26;23;38;33;36;31;23;26;24;43;30;32;23;24;69;21;19;18;20;20;34;21;22;22;29;31;23;51;24;29;25;24;18;22;26;20;22;29;20;28;38;26;34;50;24;37;48;27;24;27;46;22;13;17;20;7;10;4;19;15;40;7;7;8;6;7;6;7;8;64;35;6;51;20;8;7;4;8;4;19;3;7;8;6;3;13;7;2;5;4;3;4;39;4777
"210203 Bom Jesus das Selvas";-;114;294;119;163;144;8;14;5;9;10;10;9;13;-;4;-;-;9;4;9;22;10;18;22;17;20;23;22;12;20;14;16;26;26;28;13;15;25;18;91;26;17;18;14;21;36;12;13;31;10;14;14;15;14;13;11;11;23;7;14;26;26;16;17;9;16;17;18;23;19;17;19;15;16;57;22;18;76;84;77;79;28;20;31;24;25;30;34;31;18;33;40;40;35;26;16;12;18;27;105;22;46;14;18;24;18;11;19;11;12;12;11;3;13;-;9;2;8;14;12;12;14;13;14;10;14;10;10;16;17;13;29;11;84;-;-;11;15;12;-;-;-;-;5;8;10;8;-;-;3605
"210207 Bom Lugar";-;-;26;32;29;36;9;4;6;5;4;4;1;4;7;6;7;6;3;13;8;6;2;5;9;10;5;5;9;11;9;1;3;1;2;1;1;1;-;3;2;-;4;6;5;4;4;7;6;2;6;4;3;1;4;3;2;1;4;2;1;1;1;2;2;2;6;6;3;4;2;2;1;1;-;2;2;3;2;2;1;2;2;5;5;5;5;5;4;7;6;6;6;7;6;6;5;4;4;4;5;2;4;2;4;3;3;2;4;4;5;3;4;5;7;7;7;7;2;5;-;5;7;4;5;14;2;2;2;5;5;5;5;5;5;5;2;2;8;8;2;2;5;2;2;2;4;-;3;6;713
"210210 Brejo";1;6;29;77;47;148;4;8;38;8;2;1;2;-;1;1;2;2;3;3;-;36;7;7;7;7;7;17;26;10;12;11;78;8;1;22;11;22;17;13;10;9;4;5;5;7;7;10;5;6;5;3;2;4;6;8;5;6;7;4;1;7;4;6;20;9;71;8;5;8;188;11;12;11;8;8;7;11;7;7;41;41;9;7;5;5;9;7;12;5;5;8;2;4;6;8;6;14;9;69;13;7;7;165;12;18;16;14;11;-;12;14;8;-;16;14;18;226;9;15;15;16;4;5;5;24;2;6;6;6;3;6;4;4;5;6;10;9;7;9;9;10;113;3;5;5;6;36;4;5;2444
"210215 Brejo de Areia";-;-;-;-;-;47;5;10;12;12;16;15;6;-;13;10;16;5;11;12;13;26;7;6;9;10;8;8;9;8;5;3;8;7;9;10;6;8;12;11;20;9;14;8;10;5;7;6;8;3;10;4;7;-;9;6;7;10;10;10;9;5;10;12;4;8;9;9;9;9;9;9;9;7;7;9;7;9;4;3;6;5;5;3;4;5;4;3;2;3;1;3;4;3;2;4;17;8;6;4;10;9;10;9;5;4;12;8;15;9;18;11;9;8;12;4;-;7;7;9;13;16;10;16;15;8;8;7;7;6;3;20;2;1;3;3;4;4;4;5;5;1;9;9;11;8;-;-;5;4;1168
"210220 Buriti";14;9;45;64;81;85;8;7;10;10;7;8;8;4;-;2;1;5;62;4;4;15;9;7;7;5;5;11;3;8;3;6;4;6;3;-;4;5;6;5;12;2;5;3;4;-;-;-;1;41;-;-;4;1;1;1;1;3;3;3;2;-;1;2;4;1;1;3;116;5;73;3;1;1;2;1;-;1;2;3;-;2;1;5;-;-;1;1;2;-;6;4;6;3;5;3;3;3;4;4;3;5;6;4;3;5;6;4;17;3;5;6;7;4;5;4;1;1;2;2;3;3;2;1;1;2;-;-;-;2;1;3;1;1;10;4;4;4;8;8;2;4;4;5;1;26;1;-;1;2;1107
"210230 Buriti Bravo";-;1;-;3;2;22;3;7;3;2;-;3;6;6;5;-;10;10;6;-;-;-;-;4;2;7;2;2;2;9;-;1;8;3;3;3;3;3;3;1;1;3;2;5;7;4;6;7;7;4;6;5;4;3;2;3;4;3;-;2;2;3;1;2;2;3;2;4;2;1;2;3;3;3;2;5;3;3;4;-;5;3;2;5;2;1;3;-;6;5;5;3;5;4;2;2;3;5;5;3;3;3;1;5;5;3;5;4;4;3;2;1;2;1;2;4;4;3;5;6;6;5;7;-;3;3;7;7;6;6;5;5;4;5;7;7;9;13;-;-;-;-;-;-;-;-;-;-;-;-;513
"210232 Buriticupu";12;-;18;10;210;329;17;46;17;16;9;11;27;-;11;22;30;22;10;17;18;10;52;1;2;10;24;24;22;28;50;10;19;10;26;11;16;19;111;24;22;18;25;20;19;24;19;26;28;31;-;30;29;46;34;47;45;42;35;33;25;24;32;34;34;22;31;31;24;22;35;38;30;55;41;24;22;32;24;40;29;25;32;35;42;39;39;41;37;60;33;32;37;30;46;40;36;32;28;24;20;30;20;18;27;26;28;26;31;30;17;24;23;26;26;29;28;29;28;36;42;51;57;53;36;35;24;35;26;23;19;16;32;15;13;18;17;15;10;20;15;19;25;26;15;34;29;31;27;20;4551
"210235 Buritirana";9;83;136;56;103;179;17;18;18;15;13;14;26;13;15;6;14;12;13;5;14;7;73;14;16;11;11;2;7;5;17;38;44;47;22;24;16;19;25;19;29;18;19;22;16;18;62;29;22;25;23;18;13;8;4;13;6;8;30;15;6;5;7;14;6;6;6;8;8;5;6;9;6;10;12;10;10;12;6;6;8;15;9;7;8;7;6;9;8;5;7;7;8;10;7;5;8;7;3;3;9;3;4;3;11;7;5;16;12;5;10;2;1;1;3;18;16;19;11;7;105;7;7;107;9;12;94;10;10;5;6;6;3;6;5;7;5;7;8;8;11;10;7;9;8;8;-;-;-;-;2542
"210237 Cachoeira Grande";-;-;-;-;9;126;2;2;2;1;-;-;2;140;2;69;2;2;1;1;2;2;1;1;-;4;4;2;2;1;1;3;2;2;2;1;1;1;-;1;1;2;1;1;1;1;2;2;3;1;3;2;3;1;40;1;3;1;1;1;2;1;2;3;2;5;2;-;1;-;-;1;-;-;-;-;-;1;2;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;2;1;2;-;4;2;1;1;1;2;2;1;1;3;2;3;2;2;3;3;14;-;4;3;-;1;2;2;1;1;1;2;-;-;-;1;-;-;-;2;-;-;-;1;-;1;1;1;-;-;-;566
"210240 Cajapió";-;-;9;23;40;60;5;3;3;5;3;4;3;1;2;2;5;3;2;3;2;2;3;3;-;2;2;1;1;2;2;2;2;3;2;2;3;2;3;5;6;2;4;4;4;4;-;-;-;-;2;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;3;3;1;2;2;2;5;1;3;32;54;1;30;15;3;-;5;-;12;287;200;-;4;5;-;5;5;6;5;5;5;5;5;5;80;1;31;1;1;1;1;1;1;1;1;1;1;2;2;-;-;-;-;-;2;2;2;2;1;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;2;2;1;2;1;1130
"210250 Cajari";-;-;-;127;249;84;6;6;6;3;2;2;3;-;5;4;3;-;-;-;8;8;6;7;4;6;6;5;2;4;4;1;4;7;1;8;9;3;6;6;6;6;7;8;4;13;16;7;4;5;10;4;7;18;6;11;8;7;6;6;9;5;6;1;5;6;-;-;28;13;11;11;7;7;6;10;7;8;13;60;55;60;40;65;55;55;70;45;60;55;14;9;11;7;11;8;6;8;8;10;10;4;8;8;8;9;6;12;11;8;12;8;7;9;9;10;8;9;8;10;8;8;9;6;4;-;5;5;4;6;9;9;9;-;14;15;16;15;16;18;23;32;32;29;25;33;34;33;21;15;2256
"210255 Campestre do Maranhão";-;-;29;10;12;10;-;4;7;8;8;4;3;3;-;3;4;3;2;11;31;17;45;7;6;5;4;8;78;12;20;10;12;5;3;2;2;3;4;10;9;7;5;9;8;12;8;15;4;13;11;8;2;6;7;10;10;16;17;25;10;11;9;5;8;15;9;11;3;14;8;7;9;14;15;10;11;9;12;17;8;13;13;13;9;62;9;6;9;6;6;9;9;50;12;9;10;14;10;13;12;17;16;12;13;17;16;12;12;64;16;13;3;5;4;7;4;5;4;5;4;4;-;-;4;5;9;8;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1401
"210260 Cândido Mendes";-;-;87;53;1;102;2;3;6;12;17;2;56;43;10;7;7;6;11;1;-;20;22;11;5;1;4;22;3;6;25;2;47;16;12;4;6;11;9;10;5;9;13;6;9;10;7;7;7;7;7;10;8;12;11;7;11;17;10;9;10;10;6;6;13;9;43;6;4;4;4;2;8;7;3;3;1;4;-;-;34;-;41;17;24;28;20;28;8;3;3;3;6;13;4;4;6;3;3;10;5;9;6;5;7;9;9;7;3;2;2;7;2;7;9;8;6;4;5;7;-;-;6;5;4;3;2;3;1;3;1;-;2;1;7;8;14;6;10;10;12;8;9;9;10;9;9;10;12;12;1550
"210270 Cantanhede";-;79;126;285;127;194;51;8;14;22;20;20;13;17;108;15;16;11;240;13;11;19;22;20;19;30;23;21;17;15;19;20;18;18;19;19;18;15;11;10;13;202;8;22;15;14;11;10;20;16;11;18;19;22;22;23;23;202;102;28;18;32;58;36;15;19;27;8;51;23;33;43;20;30;39;28;28;72;28;18;24;28;25;23;26;39;28;38;24;11;12;31;20;29;31;33;36;31;27;34;37;39;30;28;25;18;26;26;19;32;26;17;33;-;31;31;3;12;9;7;11;-;5;10;18;-;13;14;5;11;11;13;15;7;21;29;40;56;38;35;35;61;52;84;11;22;35;38;30;31;4920
"210275 Capinzal do Norte";-;-;10;124;91;54;-;-;25;20;20;20;6;8;20;20;1;1;8;20;-;-;2;6;2;1;4;37;6;7;9;8;4;6;7;57;1;4;8;10;6;4;3;5;8;17;6;7;11;7;3;2;1;2;1;-;36;1;2;1;6;3;8;8;8;8;5;4;5;4;3;6;2;4;3;3;2;4;1;3;8;3;4;5;5;7;6;7;6;4;5;8;11;11;6;6;5;4;2;4;3;1;2;3;-;1;1;1;2;3;3;1;4;3;3;3;3;1;1;3;2;1;1;2;1;24;1;-;-;-;-;3;-;-;-;-;-;-;-;1;4;3;4;5;5;5;5;3;39;5;1113
"210280 Carolina";-;-;37;164;123;334;1;16;18;8;6;6;-;2;1;1;8;1;-;-;-;3;15;15;2;1;5;1;1;1;1;1;-;-;1;4;3;2;4;8;3;1;2;3;7;4;2;2;15;12;2;9;16;10;7;19;23;16;20;14;10;13;6;98;13;11;9;20;21;8;10;7;9;3;5;9;6;6;37;10;10;8;9;8;23;9;6;4;4;6;8;10;12;9;9;7;8;7;11;9;8;11;4;1;1;6;8;6;9;11;8;8;11;8;12;13;10;12;12;9;6;10;12;7;10;10;11;8;15;3;8;29;7;10;12;12;14;14;17;16;16;16;14;13;11;15;10;9;7;5;1984
"210290 Carutapera";2;31;20;76;25;62;6;6;10;6;8;7;11;8;10;21;29;2;8;1;6;17;98;18;6;15;19;6;4;12;3;1;2;4;3;2;6;-;2;2;9;2;1;2;1;1;2;4;4;2;6;8;4;6;5;10;12;6;6;5;5;7;3;16;13;18;16;-;28;1;2;2;2;5;3;3;5;4;4;5;3;4;7;19;5;4;6;46;4;4;4;8;8;1;6;6;6;6;5;8;7;4;3;4;4;5;6;4;3;6;3;3;6;4;5;5;7;5;8;6;7;6;6;8;4;7;32;32;4;4;2;-;36;3;2;-;2;-;4;-;3;1;4;-;-;-;5;4;4;3;1254
"210300 Caxias";-;-;2;191;276;1768;160;159;151;138;152;187;163;65;148;143;150;129;182;165;165;211;225;181;154;147;267;169;152;229;195;323;253;304;272;468;376;580;438;303;205;251;352;275;274;223;158;320;251;169;184;179;-;143;234;118;125;138;100;136;123;242;154;184;160;114;150;134;130;158;183;118;176;146;153;181;173;148;251;179;157;121;205;150;115;160;252;174;131;182;115;118;128;172;254;141;316;132;136;170;186;140;120;187;112;136;121;114;169;161;-;154;151;235;117;138;164;126;125;148;136;147;161;138;142;136;148;170;118;177;208;161;179;177;244;-;151;137;153;146;164;139;137;-;-;-;-;-;-;-;26435
"210310 Cedral";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;1;1;-;-;1;-;1;1;-;1;-;-;-;-;-;2;-;-;-;-;2;-;-;-;2;2;1;4;12;98;2;1;2;4;4;3;1;1;1;1;1;1;2;1;-;-;-;-;-;-;3;4;2;-;2;3;1;1;2;1;1;-;1;19;2;1;1;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;1;1;1;1;1;1;1;1;1;-;-;-;-;-;-;-;-;-;214
"210312 Central do Maranhão";1;15;-;45;70;2;-;-;-;-;-;-;-;-;-;1;2;3;3;2;-;5;4;3;2;1;3;2;3;1;2;2;-;-;2;2;1;1;3;3;2;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;6;-;-;-;-;4;25;-;8;1;2;1;-;-;-;-;-;-;-;-;-;15;5;-;4;6;4;2;1;1;-;1;1;2;-;1;-;-;-;-;-;-;-;-;2;4;2;2;2;2;2;2;3;2;2;2;2;3;2;2;2;14;2;4;32;2;5;4;4;3;3;4;3;30;77;5;4;4;5;4;4;544
"210315 Centro do Guilherme";7;50;16;84;146;126;18;32;13;35;52;20;43;33;50;30;42;2;8;10;13;32;10;86;39;60;-;8;6;16;24;20;17;8;13;15;6;12;10;12;12;-;9;9;10;18;5;5;5;5;3;3;17;4;9;6;20;3;1;2;15;9;9;11;-;-;12;10;7;7;10;5;12;12;34;5;5;5;5;3;6;10;4;7;25;5;6;6;6;4;4;4;5;3;6;8;4;4;6;7;57;8;7;5;5;5;6;3;3;3;3;52;14;3;1;-;-;2;2;3;2;4;2;4;5;4;4;15;5;2;66;3;1;4;2;1;2;2;2;2;1;1;2;2;5;4;3;5;4;-;2017
"210317 Centro Novo do Maranhão";-;-;30;47;112;88;8;9;-;1;1;4;-;-;-;-;1;1;5;6;1;4;5;-;3;1;1;-;3;3;1;6;3;7;6;4;5;29;4;4;3;1;2;3;6;1;4;2;5;4;7;2;10;10;6;13;4;4;11;5;7;4;4;6;1;2;10;-;7;9;30;7;43;9;6;32;1;8;26;2;5;12;22;5;1;14;1;6;18;-;21;4;3;-;1;-;-;2;7;1;-;2;3;2;3;2;4;4;4;7;8;4;4;-;-;-;-;-;-;-;-;-;-;-;-;-;2;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;896
"210320 Chapadinha";35;105;147;273;93;152;10;10;8;15;7;10;4;14;4;2;3;2;4;-;3;7;-;4;5;5;6;6;5;7;1;6;5;4;2;6;-;1;3;2;2;1;1;3;1;1;3;-;-;-;1;1;-;1;-;30;-;-;2;1;-;-;-;-;-;1;-;-;-;-;1;21;-;1;170;-;-;29;29;30;-;-;1;-;-;-;3;2;-;-;30;-;-;22;7;-;-;-;-;53;-;2;-;1;30;31;-;-;-;-;-;13;-;9;-;-;1;19;21;-;-;-;2;3;1;-;-;12;-;-;-;-;25;3;4;18;2;2;-;1;1;3;3;2;-;-;-;-;-;-;1633
"210325 Cidelândia";54;81;38;26;-;178;13;4;3;2;-;1;1;2;5;1;2;3;5;1;2;1;2;6;2;4;3;2;2;5;2;1;-;1;5;7;2;5;13;10;14;8;14;10;9;10;8;8;11;14;9;11;9;9;8;10;12;12;11;10;13;12;13;4;5;4;5;5;6;6;7;7;5;9;6;38;12;8;5;7;5;2;3;3;2;2;3;2;1;5;1;3;3;3;3;5;7;9;11;13;9;8;6;6;11;9;8;6;4;8;9;14;10;7;7;6;11;8;10;12;10;9;9;12;6;6;6;6;4;6;10;3;6;4;6;4;3;-;4;5;8;3;4;1;4;3;2;5;3;2;1288
"210330 Codó";-;34;138;109;183;1428;53;33;36;28;34;44;41;25;26;44;43;33;27;37;36;29;33;41;45;43;34;30;31;30;41;37;46;34;37;27;396;401;55;70;69;102;160;137;169;194;195;150;196;362;155;104;95;161;125;113;116;129;123;122;425;437;140;172;208;196;105;134;108;154;146;151;170;171;167;153;153;169;177;199;109;92;112;103;92;101;107;78;97;118;109;123;117;95;94;86;98;92;194;153;249;91;77;79;109;118;111;119;102;108;108;96;97;76;234;134;99;158;271;180;67;104;164;100;336;121;136;324;113;152;145;165;834;1473;121;89;239;263;192;128;152;359;256;366;144;141;102;146;155;85;22562
"210340 Coelho Neto";-;18;2;2;58;91;27;6;7;10;9;14;18;18;19;21;25;23;9;15;13;5;28;25;8;10;12;19;-;16;13;11;8;12;9;7;8;9;10;11;14;-;15;13;12;7;6;10;6;12;10;4;-;19;11;11;28;22;30;32;18;20;14;15;11;7;9;12;12;15;10;16;22;15;14;15;17;17;15;12;13;18;19;206;20;24;19;21;19;16;19;26;19;25;31;83;28;29;28;22;22;28;28;28;26;31;29;45;36;33;30;27;28;26;30;27;27;15;27;26;32;26;24;26;29;23;27;27;20;30;26;25;30;24;30;86;32;24;33;35;36;41;38;31;38;37;42;36;48;26;3410
"210350 Colinas";-;-;25;62;33;12;-;-;-;-;-;2;6;2;4;4;-;-;-;-;2;2;4;8;2;5;4;2;11;10;1;13;15;10;10;6;6;5;8;7;11;7;6;7;7;14;7;4;7;7;8;7;5;6;5;8;5;2;3;48;4;90;57;6;20;3;3;2;2;3;2;1;66;63;90;18;2;3;90;1;-;1;1;1;-;-;322;163;-;1;1;3;168;3;19;1;1;2;1;1;2;-;-;1;19;3;3;2;2;4;3;2;2;2;3;-;16;13;3;1;2;2;3;-;-;2;4;4;3;5;6;5;4;5;6;5;66;6;6;7;7;7;7;7;6;6;6;6;6;6;1956
